iter,fitness,time,XPL,XPT,DIV
0,110269.15828458885,0.008,100.0,0.0,48.748
1,110269.15828458885,0.009,77.93,22.07,37.989
2,93782.78847550035,0.01,63.7,36.3,31.052
3,93782.78847550035,0.008,57.23,42.77,27.897
4,93782.78847550035,0.009,49.72,50.28,24.239
5,84608.27054990266,0.009,48.2,51.8,23.498
6,70050.28009544095,0.009,41.87,58.13,20.411
7,66670.99667655422,0.008,39.36,60.64,19.185
8,66670.99667655422,0.008,41.06,58.94,20.018
9,66670.99667655422,0.009,39.81,60.19,19.406
10,66670.99667655422,0.008,40.41,59.59,19.698
11,66670.99667655422,0.008,38.49,61.51,18.765
12,47914.36299371422,0.008,38.25,61.75,18.645
13,47914.36299371422,0.01,37.84,62.16,18.445
14,42488.42483056732,0.01,35.27,64.73,17.194
15,42488.42483056732,0.009,34.28,65.72,16.713
16,42488.42483056732,0.008,32.99,67.01,16.081
17,42488.42483056732,0.008,29.47,70.53,14.368
18,42488.42483056732,0.008,29.46,70.54,14.36
19,42488.42483056732,0.009,29.34,70.66,14.303
20,30943.388305488286,0.009,29.43,70.57,14.348
21,30943.388305488286,0.009,30.42,69.58,14.829
22,28073.46583754028,0.008,30.45,69.55,14.845
23,28073.46583754028,0.01,27.83,72.17,13.568
24,28073.46583754028,0.009,26.25,73.75,12.796
25,26861.2926600602,0.008,26.42,73.58,12.877
26,26861.2926600602,0.01,28.09,71.91,13.694
27,26861.2926600602,0.012,22.72,77.28,11.076
28,18697.8872782181,0.013,22.62,77.38,11.028
29,18697.8872782181,0.009,18.19,81.81,8.869
30,18697.8872782181,0.008,18.69,81.31,9.113
31,18697.8872782181,0.009,17.76,82.24,8.658
32,13481.32098758233,0.009,16.34,83.66,7.965
33,7845.029474038914,0.009,16.95,83.05,8.262
34,7845.029474038914,0.01,16.81,83.19,8.193
35,7845.029474038914,0.009,16.49,83.51,8.037
36,7845.029474038914,0.01,15.09,84.91,7.357
37,7845.029474038914,0.008,13.79,86.21,6.721
38,7845.029474038914,0.009,15.1,84.9,7.362
39,7845.029474038914,0.009,17.19,82.81,8.381
40,7845.029474038914,0.009,16.18,83.82,7.886
41,7845.029474038914,0.009,14.59,85.41,7.113
42,7845.029474038914,0.009,14.78,85.22,7.207
43,7845.029474038914,0.009,13.09,86.91,6.379
44,7845.029474038914,0.01,12.91,87.09,6.291
45,7845.029474038914,0.009,14.06,85.94,6.854
46,7845.029474038914,0.01,14.36,85.64,7.002
47,7845.029474038914,0.008,13.69,86.31,6.675
48,7845.029474038914,0.008,14.39,85.61,7.017
49,7845.029474038914,0.009,16.1,83.9,7.85
50,7845.029474038914,0.009,13.75,86.25,6.704
51,7845.029474038914,0.009,14.54,85.46,7.087
52,7845.029474038914,0.009,14.56,85.44,7.096
53,7845.029474038914,0.009,13.09,86.91,6.382
54,7845.029474038914,0.009,12.88,87.12,6.281
55,7845.029474038914,0.009,10.47,89.53,5.106
56,5608.936495393432,0.009,10.83,89.17,5.278
57,5608.936495393432,0.009,10.11,89.89,4.926
58,5608.936495393432,0.009,8.28,91.72,4.038
59,5608.936495393432,0.008,9.04,90.96,4.405
60,5608.936495393432,0.009,9.61,90.39,4.686
61,5608.936495393432,0.008,9.09,90.91,4.432
62,5431.169718048202,0.009,8.89,91.11,4.336
63,5431.169718048202,0.009,9.51,90.49,4.638
64,5431.169718048202,0.009,10.52,89.48,5.126
65,5431.169718048202,0.009,11.2,88.8,5.462
66,5431.169718048202,0.008,9.85,90.15,4.8
67,5431.169718048202,0.01,10.88,89.12,5.304
68,5431.169718048202,0.009,9.04,90.96,4.406
69,5431.169718048202,0.01,9.29,90.71,4.53
70,5431.169718048202,0.01,8.83,91.17,4.306
71,4998.7437473760265,0.009,7.78,92.22,3.792
72,4998.7437473760265,0.01,8.25,91.75,4.021
73,4998.7437473760265,0.009,7.93,92.07,3.866
74,4073.8922498956617,0.009,7.81,92.19,3.808
75,3196.787178038474,0.009,6.8,93.2,3.313
76,3196.787178038474,0.01,6.84,93.16,3.335
77,3196.787178038474,0.009,6.08,93.92,2.962
78,3196.787178038474,0.009,6.78,93.22,3.306
79,3030.402178866207,0.008,6.61,93.39,3.222
80,3030.402178866207,0.01,6.58,93.42,3.209
81,3030.402178866207,0.009,6.74,93.26,3.287
82,3030.402178866207,0.009,5.61,94.39,2.736
83,2078.5119455031704,0.009,4.66,95.34,2.273
84,1928.40275012408,0.008,4.96,95.04,2.417
85,1245.053389225847,0.008,3.81,96.19,1.857
86,992.9555078275993,0.009,3.44,96.56,1.675
87,982.5691051907561,0.01,3.41,96.59,1.664
88,607.6002934923213,0.009,3.38,96.62,1.648
89,607.6002934923213,0.01,2.83,97.17,1.38
90,550.2393550258405,0.008,2.87,97.13,1.399
91,538.4682123601746,0.009,2.71,97.29,1.321
92,391.51278402219793,0.009,2.74,97.26,1.336
93,391.51278402219793,0.008,2.45,97.55,1.194
94,267.77704761831217,0.009,1.83,98.17,0.894
